order_id,product_id,quantity,supplier_id,order_date,delivery_date,transportation_mode,distance,weather_condition,delay
1,52,34,9,2023-01-01,2023-01-11,Air,284.2734532291234,Extreme,5
2,93,8,6,2023-01-02,2023-01-12,Air,509.87321622469153,Extreme,5
3,15,40,6,2023-01-03,2023-01-17,Sea,760.0721862668593,Bad,9
4,72,83,4,2023-01-04,2023-01-16,Sea,500.11933697804926,Good,7
5,61,42,1,2023-01-05,2023-01-10,Air,104.95222697480258,Good,0
6,21,41,10,2023-01-06,2023-01-23,Sea,959.9003109387937,Extreme,12
7,83,6,8,2023-01-07,2023-01-21,Sea,945.5881031394066,Bad,9
8,87,52,2,2023-01-08,2023-01-25,Sea,795.9300659909879,Extreme,12
9,75,26,1,2023-01-09,2023-01-16,Road,991.7615064860096,Bad,2
10,75,64,2,2023-01-10,2023-01-17,Air,567.2582161602497,Bad,2
11,88,98,1,2023-01-11,2023-01-18,Road,964.6299327405458,Bad,2
12,100,59,1,2023-01-12,2023-01-26,Sea,121.82478858591324,Bad,9
13,24,56,9,2023-01-13,2023-01-18,Road,397.39671084830275,Good,0
14,3,59,1,2023-01-14,2023-01-28,Sea,264.11220460642755,Bad,9
15,22,70,4,2023-01-15,2023-01-22,Road,236.04142992755652,Bad,2
16,53,33,10,2023-01-16,2023-02-02,Sea,183.76280144804227,Extreme,12
17,2,53,6,2023-01-17,2023-01-27,Road,641.2929594876969,Extreme,5
18,88,22,7,2023-01-18,2023-01-23,Road,792.2557629599398,Good,0
19,30,21,2,2023-01-19,2023-01-29,Road,599.3834794493426,Extreme,5
20,38,70,6,2023-01-20,2023-01-27,Air,189.6145741087992,Bad,2
21,2,70,7,2023-01-21,2023-01-31,Road,820.5675814367974,Extreme,5
22,64,4,10,2023-01-22,2023-01-27,Air,654.1569718055421,Good,0
23,60,94,10,2023-01-23,2023-02-09,Sea,418.75742082064573,Extreme,12
24,21,75,2,2023-01-24,2023-02-03,Road,690.4237807592598,Extreme,5
25,33,62,2,2023-01-25,2023-02-06,Sea,296.9097302806912,Good,7
26,76,62,10,2023-01-26,2023-02-07,Sea,377.9325980695,Good,7
27,58,94,7,2023-01-27,2023-02-03,Road,921.6115509753907,Bad,2
28,22,95,1,2023-01-28,2023-02-07,Air,325.97928038784937,Extreme,5
29,89,24,8,2023-01-29,2023-02-05,Road,496.48885475003976,Bad,2
30,49,55,3,2023-01-30,2023-02-16,Sea,895.6340805262139,Extreme,12
31,91,9,6,2023-01-31,2023-02-17,Sea,722.3352827541511,Extreme,12
32,59,3,9,2023-02-01,2023-02-08,Road,109.0930648564676,Bad,2
33,42,31,6,2023-02-02,2023-02-12,Air,189.93789206502183,Extreme,5
34,92,40,9,2023-02-03,2023-02-13,Air,57.449511233320976,Extreme,5
35,60,36,7,2023-02-04,2023-02-21,Sea,649.3757007177052,Extreme,12
36,80,24,9,2023-02-05,2023-02-17,Sea,475.2897541398974,Good,7
37,15,95,2,2023-02-06,2023-02-13,Air,177.56110835716174,Bad,2
38,62,6,8,2023-02-07,2023-02-12,Road,960.037415003932,Good,0
39,62,66,8,2023-02-08,2023-02-22,Sea,553.1767377483388,Bad,9
40,47,84,2,2023-02-09,2023-02-16,Air,279.79862940724473,Bad,2
41,62,92,4,2023-02-10,2023-02-27,Sea,525.5733925969721,Extreme,12
42,51,75,7,2023-02-11,2023-02-18,Road,695.6393160983524,Bad,2
43,55,4,4,2023-02-12,2023-02-17,Air,122.42725707488626,Good,0
44,64,79,4,2023-02-13,2023-02-25,Sea,310.96862429549736,Good,7
45,3,6,6,2023-02-14,2023-02-19,Road,816.6172163397939,Good,0
46,51,94,10,2023-02-15,2023-03-01,Sea,486.6816268825282,Bad,9
47,7,51,6,2023-02-16,2023-02-21,Road,569.2482849306801,Good,0
48,21,62,10,2023-02-17,2023-02-24,Road,461.1752020989958,Bad,2
49,73,57,3,2023-02-18,2023-02-23,Air,91.70494551085486,Good,0
50,39,66,9,2023-02-19,2023-02-24,Road,207.46229082914815,Good,0
51,18,79,10,2023-02-20,2023-03-06,Sea,473.26455680479637,Bad,9
52,4,75,2,2023-02-21,2023-02-26,Road,248.72619213753143,Good,0
53,89,8,6,2023-02-22,2023-03-04,Road,97.4800772266948,Extreme,5
54,60,26,7,2023-02-23,2023-03-02,Air,851.4671808492326,Bad,2
55,14,51,9,2023-02-24,2023-03-03,Road,982.13290270591,Bad,2
56,9,45,3,2023-02-25,2023-03-04,Road,803.4857302969025,Bad,2
57,90,44,10,2023-02-26,2023-03-15,Sea,861.0956756194337,Extreme,12
58,53,5,3,2023-02-27,2023-03-06,Air,279.87827380119313,Bad,2
59,2,70,7,2023-02-28,2023-03-05,Air,962.5956267375398,Good,0
60,84,26,4,2023-03-01,2023-03-06,Air,237.07941923075697,Good,0
61,92,68,8,2023-03-02,2023-03-07,Road,953.8583198437407,Good,0
62,60,19,7,2023-03-03,2023-03-10,Air,995.0783292676534,Bad,2
63,71,84,5,2023-03-04,2023-03-09,Road,726.1366654587463,Good,0
64,44,97,7,2023-03-05,2023-03-12,Road,982.0865452022308,Bad,2
65,8,20,3,2023-03-06,2023-03-18,Sea,591.0627905887485,Good,7
66,47,12,2,2023-03-07,2023-03-24,Sea,296.56469401728583,Extreme,12
67,35,47,6,2023-03-08,2023-03-25,Sea,465.1460913823398,Extreme,12
68,78,1,2,2023-03-09,2023-03-26,Sea,613.8828886098466,Extreme,12
69,81,90,3,2023-03-10,2023-03-27,Sea,119.42748392566423,Extreme,12
70,36,14,6,2023-03-11,2023-03-18,Road,641.2261013863838,Bad,2
71,50,64,5,2023-03-12,2023-03-17,Road,982.1189449241798,Good,0
72,4,38,8,2023-03-13,2023-03-23,Air,230.60226729454124,Extreme,5
73,2,37,9,2023-03-14,2023-03-21,Road,802.9653604739641,Bad,2
74,6,11,3,2023-03-15,2023-03-25,Road,912.5038540906384,Extreme,5
75,54,100,10,2023-03-16,2023-04-02,Sea,946.5165131792098,Extreme,12
76,4,77,3,2023-03-17,2023-03-24,Road,962.1288241851748,Bad,2
77,54,3,3,2023-03-18,2023-04-01,Sea,545.3866567853984,Bad,9
78,93,33,6,2023-03-19,2023-03-24,Air,978.4425125919284,Good,0
79,63,6,1,2023-03-20,2023-03-25,Air,769.4446967777169,Good,0
80,18,50,7,2023-03-21,2023-03-31,Road,203.5878644251138,Extreme,5
81,90,10,1,2023-03-22,2023-04-01,Air,503.0551011445715,Extreme,5
82,44,5,5,2023-03-23,2023-03-28,Road,732.4146166034038,Good,0
83,34,23,10,2023-03-24,2023-03-29,Air,284.9733000281292,Good,0
84,74,10,8,2023-03-25,2023-04-08,Sea,658.584424371443,Bad,9
85,62,44,4,2023-03-26,2023-04-07,Sea,683.2704550942883,Good,7
86,100,2,5,2023-03-27,2023-04-08,Sea,204.5647566181376,Good,7
87,14,13,4,2023-03-28,2023-04-14,Sea,586.8310468301185,Extreme,12
88,95,40,4,2023-03-29,2023-04-03,Road,783.0455654296773,Good,0
89,48,2,8,2023-03-30,2023-04-09,Air,523.9508813091448,Extreme,5
90,15,84,2,2023-03-31,2023-04-05,Road,61.497960937302054,Good,0
91,72,65,1,2023-04-01,2023-04-15,Sea,58.58654562532757,Bad,9
92,78,63,3,2023-04-02,2023-04-07,Road,389.1778767715116,Good,0
93,87,73,9,2023-04-03,2023-04-08,Air,929.8843650101929,Good,0
94,62,17,4,2023-04-04,2023-04-09,Road,267.24294062342835,Good,0
95,40,9,10,2023-04-05,2023-04-15,Air,652.6455044281028,Extreme,5
96,85,75,5,2023-04-06,2023-04-13,Road,260.97207715865454,Bad,2
97,80,15,2,2023-04-07,2023-04-12,Air,355.5864901765712,Good,0
98,82,24,4,2023-04-08,2023-04-18,Air,855.6399851214097,Extreme,5
99,53,38,2,2023-04-09,2023-04-23,Sea,742.4183701564496,Bad,9
100,24,35,2,2023-04-10,2023-04-20,Air,140.6293134475501,Extreme,5
101,26,94,4,2023-04-11,2023-04-28,Sea,457.26691993711194,Extreme,12
102,89,95,6,2023-04-12,2023-04-26,Sea,77.71127546300124,Bad,9
103,60,49,7,2023-04-13,2023-04-25,Sea,506.84563927285853,Good,7
104,41,69,10,2023-04-14,2023-04-24,Road,679.3123111160147,Extreme,5
105,29,62,3,2023-04-15,2023-04-25,Road,162.577492418244,Extreme,5
106,15,60,3,2023-04-16,2023-04-21,Road,324.44069196370737,Good,0
107,45,50,10,2023-04-17,2023-04-22,Road,427.9447942270491,Good,0
108,65,78,6,2023-04-18,2023-04-25,Air,923.5544734232473,Bad,2
109,89,75,3,2023-04-19,2023-04-26,Air,993.5922646518159,Bad,2
110,71,9,2,2023-04-20,2023-04-27,Road,92.66573404583507,Bad,2
111,9,34,8,2023-04-21,2023-04-26,Air,772.9575273206225,Good,0
112,88,76,5,2023-04-22,2023-05-02,Air,403.1378630822261,Extreme,5
113,1,99,1,2023-04-23,2023-05-10,Sea,422.83527691800606,Extreme,12
114,8,35,3,2023-04-24,2023-05-08,Sea,766.5517246796716,Bad,9
115,88,1,10,2023-04-25,2023-05-07,Sea,922.5051105381382,Good,7
116,63,40,8,2023-04-26,2023-05-13,Sea,953.3821647774209,Extreme,12
117,11,64,4,2023-04-27,2023-05-04,Air,598.2664567364047,Bad,2
118,81,22,7,2023-04-28,2023-05-08,Road,389.26510133547765,Extreme,5
119,8,60,10,2023-04-29,2023-05-09,Air,798.1716315658402,Extreme,5
120,35,64,2,2023-04-30,2023-05-05,Air,288.45131409918525,Good,0
121,35,93,7,2023-05-01,2023-05-06,Air,585.8703273918419,Good,0
122,33,72,5,2023-05-02,2023-05-19,Sea,390.6495384486295,Extreme,12
123,5,11,5,2023-05-03,2023-05-17,Sea,673.7995200224823,Bad,9
124,41,14,6,2023-05-04,2023-05-16,Sea,278.37896724883154,Good,7
125,28,60,9,2023-05-05,2023-05-15,Road,232.01329844808447,Extreme,5
126,7,30,6,2023-05-06,2023-05-11,Air,922.3271323416652,Good,0
127,73,35,8,2023-05-07,2023-05-12,Road,146.71349880206006,Good,0
128,72,85,7,2023-05-08,2023-05-20,Sea,530.6600123481851,Good,7
129,12,37,9,2023-05-09,2023-05-19,Road,259.81014381485846,Extreme,5
130,34,5,4,2023-05-10,2023-05-17,Air,86.98346515938408,Bad,2
131,33,83,2,2023-05-11,2023-05-18,Air,84.21787737685507,Bad,2
132,48,78,7,2023-05-12,2023-05-26,Sea,216.46068350053596,Bad,9
133,23,26,6,2023-05-13,2023-05-25,Sea,873.4318367807002,Good,7
134,62,62,1,2023-05-14,2023-05-24,Road,318.3548067781753,Extreme,5
135,88,4,9,2023-05-15,2023-05-27,Sea,952.936212046531,Good,7
